      =============================12151   p1,E001.100711.开跑啦（嘉宾：李孝利、黄静茵）
                     ===============6925   p2,E002.100718.智孝驾到（嘉宾：具荷拉、李天熙）
                        ============5915   p3,E003.100725.赢得奖金竞赛（嘉宾：具荷拉、李天熙）
                      ==============6508 * p4,E004.100801.科学馆奖金比拼竞赛（上）（嘉宾：尼坤、Jessica）
                            ========4249   p5,E005.100808.科学馆奖金比拼竞赛（下）（嘉宾：尼坤、Jessica）
                              ======3733   p6,E006.100815.R球赢得竞赛（嘉宾：se7en、孙丹菲、金申英）
                        ============6002   p7,E007.100822.最初的追击战（嘉宾：郑容和、赵权、咸恩静）
                     ===============6958 * p8,E008.100829.王鼻子的诞生（嘉宾：宋茜、朴俊奎、李淮）
                        ============5835   p9,E009.100905.游乐园Race（嘉宾：李弘基、申凤善、金秀路）
                      ==============6566 * p10,E010.100912.周一一起喝咖啡（嘉宾：车太贤、尹世雅）
                           =========4735   p11,E011.100919.Gary的隐藏摄像机（嘉宾：郑容和、金济东）
                        ============5855 * p12,E012.100926.宋仲基1v7（无嘉宾）
                        ============5743   p13,E013.101003.抓小偷竞赛（嘉宾：张东民）
                          ==========5195   p14,E014.101017.金钟国1v8（无嘉宾）
                    ================7101 * p15,E015.101024.让智孝心动（嘉宾：Tony an、金光奎）
                          ==========5230   p16,E016.101031.Yuri的隐藏摄像机（嘉宾：Yuri）
                            ========4465   p17,E017.101107.郑容和的反隐藏摄像机（嘉宾：郑容和、高周元）
                ====================8631 * p18,E018.101121.宋智孝1v8（嘉宾：无嘉宾）
                          ==========5025   p19,E019.101128.HAHA1v9（嘉宾：尼坤）
                         ===========5583 * p20,E020.101205.刘在石的心理测试（嘉宾：金希澈）
                            ========4566   p21,E021.101212.金济东1v9（嘉宾：金济东）
                              ======3797   p22,E022.101219.圣诞特辑（嘉宾：崔始源、金民钟）
                            ========4409 * p23,E023.101226.英九特辑（嘉宾：沈烔来）
                             =======4115   p24,E024.110102.Rm居民大会男女对决（嘉宾：李京实、宋恩伊）
                       =============6243 * p25,E025.110109.隐藏Gary（嘉宾：朴宝英）
                        ============5749   p26,E026.110116.李文植、郑镇英VsRm（嘉宾：李文植、郑镇英）
                       =============6246   p27,E027.110123.Rm歌剧（嘉宾： 允浩、昌珉）
                     ===============6945 * p28,E028.110130.达人金炳万（嘉宾：金炳万）
                      ==============6465   p29,E029.110206.海洋馆竞赛（无嘉宾）
                             =======3982   p30,E030.110213.胜利VsRm（嘉宾：胜利）
                      ==============6678 * p31,E031.110220.水中KTV（嘉宾：玄英）
                      ==============6552   p32,E032.110227.办公室奥运会（嘉宾：Tony an、金光奎）
                         ===========5338   p33,E033.110306.旅行奥林匹克（嘉宾：吴志浩）
                          ==========5206   p34,E034.110313.UEE1v9（嘉宾：UEE、朴俊奎）
                        ============5698 * p35,E035.110320.露营竞赛（上）（嘉宾：姜大成、郑容和）
                          ==========5217   p36,E036.110327.露营竞赛（下）（嘉宾：姜大成、郑容和）
                          ==========5277   p37,E037.110403.料理大赛（嘉宾：朴艺珍）
                     ===============6980 * p38,E038.110410.刘姆斯邦德第一季（无嘉宾）
                         ===========5447   p39,E039.110417.允儿、SunnyVsRm（嘉宾：允儿、Sunny）
                        ============5895 * p40,E040.110424.乐队对决（嘉宾：玉泽演、尼坤）
                        ============5679   p41,E041.110501.再见啦宋仲基（嘉宾：李善均、朴重勋）
                     ===============6900   p42,E042.110508.最强者生存战（一）（无嘉宾）
          =========================10945 * p43,E043.110515.Rm体育大会（嘉宾：申凤善、IU）
                            ========4559   p44,E044.110522.广告公司Race（上）（嘉宾：张赫）
                        ============5913 * p45,E045.110529.广告公司Race（下）（嘉宾：张赫）
                        ============5726   p46,E046.110605.金贤重VsRm（嘉宾：金贤重）
                               =====3308   p47,E047.110612.生存任务倒计时（嘉宾：金贤重）
                         ===========5557   p48,E048.110619.寻找丢失的仪轨（无嘉宾）
                        ============5877   p49,E049.110626.女王之战（嘉宾：具荷拉、卢士燕）
                   =================7437 * p50,E050.110703.泰国特辑（上）（嘉宾：尼坤、金敏贞）
                        ============5686   p51,E051.110710.泰国特辑（下）（嘉宾：尼坤、金敏贞）
                    ================7416 * p52,E052.110717.狩猎Rm（嘉宾：崔民秀）
                       =============6307   p53,E053.110724.庆州Race（嘉宾：崔民秀、尹素怡）
                            ========4423   p54,E054.110731.守护Boss特辑（嘉宾：池城、崔江熙）
                      ==============6507 * p55,E055.110807.女高生特辑（嘉宾：裴秀智、朴智妍、雪莉、Luna）
                         ===========5473   p56,E056.110814.上女特辑（嘉宾：申凤善、金淑、安文淑、杨静雅）
                        ============5864 * p57,E057.110821.济州岛特辑（上）（嘉宾：车太贤、申世京）
                           =========4619   p58,E058.110828.济州岛特辑（下）（嘉宾：车太贤、申世京）
                        ============5896   p59,E059.110904.HipPop特辑（嘉宾：Tiger JK、尹美莱、崔子、Gaeko、Simon D）
                        ============5920   p60,E060.110911.Gary隐藏摄像机-中秋摔跤特辑（无嘉宾）
             =======================9841 * p61,E061.110918.北京特辑（上）（嘉宾：李妍熙、金柱赫、姜智英）
